ak,akshay1112@joshsoftware.com,9129431216059,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
ak,akshay1112@joshsoftware.com,9129431216059,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
=========================================
ak,akshay1112@joshsoftware.com,9129431216059,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
ak,akshay1112@joshsoftware.com,+9129431216059,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,+918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
ak,akshay1112@joshsoftware.com,+9199431216059,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,+918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"

====================================================



ak,akshay1112@joshsoftware.com,+919943121605,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,+918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
ak,akshay1112@joshsoftware.com,+919943121605,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
teja,tejaswini1112@joshsoftware.com,+918321707676,"[""can't be blank"", ""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
ak,akshay1112@joshsoftware.com,+919943121605,"[""has already been taken""]"
"[""can't be blank"", ""can't be blank""]","[""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
"[""can't be blank"", ""can't be blank""]","[""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
"[""can't be blank"", ""can't be blank""]","[""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
"[""can't be blank"", ""can't be blank""]","[""can't be blank""]","[""can't be blank"", ""is the wrong length (should be 13 characters)""]"
