tejaswini8, tejaswini8@pubmatic.com, +918088808884,"[""has already been taken""]","["" Enter valid mobile number!"", ""is the wrong length (should be 10 characters)""]"
tejaswini8, tejaswini8@pubmatic.com, 9999999997,"[""has already been taken""]"


=====================

payal, payal@pubmatic.com, 8999999999,"[""has already been taken""]","[""has already been taken""]"
payal, payal@pubmatic.com, 8999999999,"[""has already been taken""]","[""has already been taken""]"
payal1, payal1@pubmatic.com, 8999999990,"[""has already been taken""]","[""has already been taken""]"
payal, payal@pubmatic.com, 8999999999,"[""has already been taken""]","[""has already been taken""]"
payal1, payal1@pubmatic.com, 8999999990,"[""has already been taken""]","[""has already been taken""]"
payal2, payal2@pubmatic.com, 8999999991,"[""has already been taken""]","[""has already been taken""]"
payal10, payal10@pubmatic.com, 7999999999,"[""has already been taken""]","[""has already been taken""]"
payal1, payal1@pubmatic.com, 8999999990,"[""has already been taken""]","[""has already been taken""]"
payal90, payal90@pubmatic.com, 0999999990,"[""has already been taken""]","[""has already been taken""]"
payal92, payal92@pubmatic.com, 1999999960,"[""has already been taken""]","[""has already been taken""]"
payal92, payal92@pubmatic.com, 1999999960,"[""has already been taken""]","[""has already been taken""]"
payal92, payal92@pubmatic.com, 1999999960,"[""has already been taken""]","[""has already been taken""]"
payal92, payal92@pubmatic.com, 1999999960,"[""has already been taken""]","[""has already been taken""]"
payal92, payal92@pubmatic.com, 1999999960,"[""has already been taken""]","[""has already been taken""]"
